# ID|Name|Type|Rarity|Int|% In Lair|Treasure|Alignment|Number|AC|Move|HD|# Attacks|Damage|Spec Att|Spec Def|Magic Res|Size|Psi|PsiAttDef|XP|Armor|Weapon
2246|Pudding - Deadly - Dun|Ooze|Rare|Non (0)|0%|Nil|5|1 (1-3)|7|12|8+1|1|4-24|Special|Special|Standard|S-L (3-8')|Nil|Nil|1000+12|Nil|Nil 
2247|Pudding - Deadly - White|Ooze|Rare|Non (0)|0%|Nil|5|1 (1-3)|8|9|9|1|7-28|Special|Special|Standard|S-L (3-8')|Nil|Nil|1200+12|Nil|Nil 
2248|Quickling|Fey|Very Rare|High to Genius (13-18)|10%|O,P,Q,X|9|4-16|-3|96|1+1/2|3|1-4(x3)|Special|Special|Save as 19th level cleric|S (2')|Nil|Nil|200+3|Nil|Nil 
2249|Quickwood|Plant|Very Rare|Very (11-12)|100%|Special|5|1 (10% 2-4)|5|1 (roots: 3)|5 to 10 (5hp/die)|Special|Special|Special|Never surprised|Special|L|Nil|Nil|350+10|Nil|Nil 
2250|Ram|Animal|Uncommon|Animal (1)|0%|Nil|5|1 (1-6)|6|15|2|1|1-2|Charge|Nil|Standard|M|Nil|Nil|28+2|Nil|Nil 
2251|Rat - Ordinary|Animal|Common|Animal (1)|0%|Nil|8|1-100|7|15|1/4|1|1|Nil|Nil|Standard|S|Nil|Nil|2+1|Nil|Nil 
2252|Rat - Vapor|Magical Beast|Rare|Low (5-7)|30%|Special|6|2-16|6 or special|12, Sw 6, Br 1|2|1|1-2|Stinking cloud|Gaseous form|Standard|S|Nil|Nil|52+2|Nil|Nil 
2253|Raven|Animal|Common|Animal (1)|25%|Special|5|4-36|7|1, Fl 36|1/4|1|1|Special|Special|Standard|S (2-4')|Nil|Nil|Nil|Nil|Nil 
2254|Raven - Giant|Animal|Rare|Low (5-7)|10%|Special|8|4-16|4|3, Fl 18|3+2|1|3-6|Nil|Nil|Standard|M-L (6-10')|Nil|Nil|60+4|Nil|Nil 
2255|Raven - Huge|Animal|Rare|Semi (2-4)|15%|Special|8|2-8|6|1, Fl 27|1-1|1|1-2|Special|Special|Standard|M (4-6')|Nil|Nil|30+1|Nil|Nil 
2256|Retch Plant|Plant|Rare|Non (0)|0%|Nil|5|2-20|8|Nil|5 to 8|Nil|Nil|Special|Special|Standard|L (16-24')|Nil|Nil|150+6|Nil|Nil
2257|Rock Reptile|Magical Beast|Rare|Animal (1)|30%|Special|5|1-2|3|6|5 (+1 hp/foot in length)|1|1-4 +1/foot in length|Surprise on 1-3|Chameleon powers|Standard|M-L (5-12')|Nil|Nil|400+7 to 600+9|Nil|Nil 
2258|Sandling|Monster|Rare|Non (0)|65%|Nil|5|1|3|12, Br 6|4|1|2-16|Nil|Immune to sleep, hold, charm, and mind-affecting spells|Standard|L|Nil|Nil|85+4|Nil|Nil 
2259|Scorpion - Huge|Vermin|Uncommon|Non (0)|25%|D|5|1-4|4|12|4+4|3|1-8(x2)/1-3|Poison sting|Nil|Standard|M|Nil|Nil|165+5|Nil|Nil 
2260|Scorpion - Large|Vermin|Common|Non (0)|25%|D|5|1-6|5|9|2+2|3|1-4(x2)/1|Poison sting|Nil|Standard|S|Nil|Nil|90+3|Nil|Nil 
2261|Scum Creeper|Vermin|Uncommon|Non (0)|0%|Nil|5|2-24|8|3|1|1|Nil (1)|Special|Nil|Standard|S (6-12")|Nil|Nil|14+1|Nil|Nil 
2262|Selkie|Magical Beast|Very Rare|Average to Exceptional (8-16)|0 or 90%|A(magic only),R|2|1 (12-30)|5|12, Sw 36|3+3|1|1-6 or by weapon|Special|Special|Standard|M|Nil|Nil|75+4|Nil|Nil 
2263|Shade|Monster|Very Rare|Low to Genius (5-18)|Varies|As base creature|5|1-2|As base creature|As base creature|As base creature|As base creature|By weapon|Special|Special|Varies|As original creature|Special|Special|Variable|Nil|Nil 
2264|Shedu - Greater|Magical Beast|Very Rare|Genius to Supra-genius (17-20)|0%|Nil|1|1-2|2|15, Fl 30 (B)|14+14|2|3-18(x2)|Special|Special|50%|L (6')|120-150|All/All|5250+20|Nil|Nil 
2265|Sirine|Fey|Very Rare|High to Genius (13-18)|30%|L,M,N,Q (X)|5|1 (2-8)|3 or better|12, Sw 24|4 to 7|1|By weapon|Special|Special|20% or more|M|Nil|Nil|350+10|Nil|Nil 
2266|Skeleton - Animal|Undead|Very Rare|Non (0)|85%|Special|5|2-20|8|6|1-1|1|1-4|Nil|Special|Special|S-M|Nil|Nil|10+1|Nil|Nil 
2267|Skunk|Animal|Common|Animal (1)|0%|Nil|5|1 (1-6)|8|12|1/4|1|1|Squirt musk|Squirt musk|Standard|S|Nil|Nil|4+1|Nil|Nil 
2268|Slime - Olive|Ooze|Very Rare|Non (0)|0%|Nil|5|1-4|9|0|2+2|0|Nil|Special|Special|Special|S|Nil|Nil|330+3|Nil|Nil 
2269|Slime Creature|Ooze|Rare|Animal (1)|0%|Nil|5|1-20|9|6|3+2 to 8+2|1|1-4, 2-8, or 4-16|Olive slime|Special|Special|S-L|Nil|Nil|110+4 to 1200+12|Nil|Nil 
2270|Snake - Constrictor|Animal|Uncommon|Animal (1)|0%|Nil|5|1-2|6|9|3+2|2|1/1-3|Constriction|Nil|Standard|M (15')|Nil|Nil|85+4|Nil|Nil 
2271|Snake - Poisonous|Animal|Uncommon|Animal (1)|0%|Nil|5|1-6|6|15|2+1|1|1|Poison|Nil|Standard|S (5')|Nil|Nil|255+3|Nil|Nil 
2272|Solar|Outsider|Very Rare|Supra-genius (19-20)|0%|Nil|2|1|9|18, Fl 40, Sw 18|177 hp|4|By weapon +12|Special|Special|85%|L (10')|354|All/All|95000+35|Nil|Nil 
2273|Solifugid - Giant|Vermin|Very Rare|Non (0)|25%|Nx4,Qx2, or I|5|1-4|4|12|6+6|2 or 1|4-16|Grip|Nil|Standard|L|Nil|Nil|350+8|Nil|Nil 
2274|Solifugid - Huge|Vermin|Very Rare|Non (0)|20%|QxS|5|1-6|5|9|5+5|2 or 1|3-12|Grip|Nil|Standard|M|Nil|Nil|225+6|Nil|Nil 
2275|Solifugid - Large|Vermin|Rare|Non (0)|10%|Q|5|1-6|6|9|3+3|2 or 1|2-8|Grip|Nil|Standard|M|Nil|Nil|85+4|Nil|Nil 
2276|Spectator|Monster|Very Rare|Very to High (11-14)|100%|Special|4|1-2|4 (eyes: 7)|10 (B)|4+4|1|1|Special|Special|5%|L (4')|Nil|Nil|350+9|Nil|Nil 
2277|Spider - Giant - Marine|Vermin|Uncommon|Semi (2-4)|70%|Incidental|5|1-6|4|15|7+7|1|3-12|Poison|Nil|Standard|L|Nil|Nil|650+12|Nil|Nil 
2278|Spriggan|Humanoid|Very Rare|Average to Exceptional (8-16)|30%|A|9|3-12|3 or 5|9 or 15|4 or 8+4|2|2-8(x2) or by weapon|Spells; Thief abilities|Special|Standard|S (3') or L (12')|Nil|Nil|1000+10|Nil|Nil 
2279|Sprite - Atomie|Fey|Rare|Average to Very (8-12)|35%|M,Q,C (magic)|6 |30-120|4|12, Fl 24 (A)|1/2|2|By weapon|Special|Special|20%|S (1')|Nil|Nil|40+1|Nil|Nil 
2280|Sprite - Grig|Fey|Very Rare|Low to Average (5-10)|10%|X,Y|2|2-12 (5-50)|2|6, Jp 12|1/2+1|3 or 2|By weapon|Special|Spells|30%|S (1.5')|Nil|Nil|50+1|Nil|Nil 
2281|Squealer|Monster|Very Rare|Semi (2-4)|15%|Special|5|1 (2-4|6|12, Cl 9|12|3|7-12/1-3(x2)|Special|Camouflage|Standard|L|Nil|Nil|3000+16|Nil|Nil 
2282|Squirrel - Carnivorous - Flying|Animal|Rare|Animal (1)|40%|Incidental|5|3-18|7|9, Fl 15 (E)|1-1|1|1-2|Flying; Surprises on 4-6|Nil|Standard|S (6")|Nil|Nil|10+1|Nil|Nil 
2283|Squirrel - Giant - Black|Animal|Rare|Semi (2-4)|0%|Incidental|8|1-12|6|12|1+1|1|1-3|Nil|Nil|Standard|S (2')|Nil|Nil|20+2|Nil|Nil 
2284|Squirrel - Ordinary|Animal|Common|Animal (1)|0%|Nil|5|1-6|8|9|1/8|1|1|Nil|Nil|Standard|S|Nil|Nil|Nil|Nil|Nil 
2285|Stegocentipede|Vermin|Very Rare|Non (0)|0%|Nil|5|1|3 (6)|15|9|2|2-8/3-12|Poison|Spine armor|Standard|L (18')|Nil|Nil|1700+12|Nil|Nil 
2286|Stench Kow|Outsider|Common|Animal (1)|0%|Nil|5|15-60|2|15|3+3|1|2-8|Special|Special|Standard|L|Nil|Nil|150+4|Nil|Nil 
2287|Stone Guardian|Construct|Very Rare|Non (0)|100%|Special|5|1-4|2|10|4+4|2|2-9(x2)|Nil|Special|Special|M-L|Nil|Nil|550+8|Nil|Nil 
2288|Storoper|Monster|Rare|High (13-14)|90%|M,N,Qx2|9|1|0|1|6|1|1-10|Special|Special|Standard|M|Nil|Nil|500+6|Nil|Nil
2289|Sundew - Giant|Plant|Uncommon|Semi (2-4)|0%|Nil|5|1-4|7|1|8|Special|1-3|Special|Special|Standard|M|Nil|Nil|1075+10|Nil|Nil 
2290|Swan|Animal|Uncommon|Animal (1)|0%|Nil|5|1 (2-16)|7|3, Fl 18 (D)|1+2|3|1(x2)/1-2|Special|Surprised only on 1|Standard|M (8')|Nil|Nil|Nil|Nil|Nil 
2291|Swanmay|Humanoid|Very Rare|High to Genius (13-18)|0%|Special|2|1 (2-5)|7|3 or 15, Fl 18 (D)|2 or more|As swan or human|As swan or by weapon|Special|Special|2% per HD|M|Unlikely|Special|Variable|Nil|Nil 
2292|Swordfish|Animal|Uncommon|Animal (1)|0%|Nil|5|1-8|6|Sw 24|1+1 to 3+3|1|2-12, 3-12, or 4-16|Nil|Nil|Standard|M-L|Nil|Nil|35+3|Nil|Nil 
2293|Taer|Monstrous Humanoid|Very Rare|Low (5-7)|40%|Special|5|11-30|4|18|3+6|3 or 1|1-6/1-4(x2) or by weapon|Stench|Immune to cold|Standard|M (6.5')|Nil|Nil|150+4|Nil|Nil 
2294|Tarrasque|Monster|Unique|Animal (1)|Special|Special|5|1|-3|9, Charge 15|300 hp|6|1-12(x2)/2-24/5-50/1-10(x2)|Sharpness bite; Terror|Special|Standard|L (50')|Immune to psionics|Nil|37500|Nil|Nil 
2295|Tasloi|Humanoid|Rare|Low to Average (5-10)|30%|Qx5|9|10-100|6 (5)|9, Cl 15|1|2 or 1|1-3(x2) or by weapon|Surprise on 1-4|Nil|Standard|S (2-3')|Nil|Nil|10+1|Nil|Nil 
2296|Termite - Giant Harvester - Soldier|Vermin|Special|Semi (2-4)|20%|Special|5|3-18|2 (8)|9|2+2|1|1-4|Special|Nil|Standard|M (4.5')|Nil|Nil|50+3|Nil|Nil 
2297|Termite - Giant Harvester - Worker|Vermin|Special|Animal (1)|20%|Special|5|6-60|2 (10)|9|1+2|1|1-2|Nil|Nil|Standard|S (3')|Nil|Nil|20+2|Nil|Nil 
2298|Thessalhydra|Magical Beast|Rare|Low (5-7)|50%|Special|5|1|0|12|12|Up to 10|1-6(x8)/1-12/1-20|Acid saliva and spitting|Immune to acid|Standard|L (36')|Nil|Nil|5800+16|Nil|Nil 
2299|Thri-kreen|Monster|Rare|High (13-14)|5%|Q|6|2-12|5|18|6+3|5 or 3|1-4(x4)/2-5 or by weapon +2|Special|Dodge missiles on roll of 9 or better|Standard|M (6')|Nil|Nil|800+8|Nil|Nil 
2300|Thunder Beast|Outsider|Common|Animal (1)|0%|Nil|5|5-20|4|9, Charge 18|4+1 to 9+1|1|2-12|Trampling|Special|Standard|L|Nil|Nil|650+10|Nil|Nil 
2301|Thunderherder|Vermin|Rare|Semi (2-4)|5%|Nil|5|10-100|3|20, Br 9|7|1|Nil|Earthquake|Nil|Standard|L|Nil|Nil|350+8|Nil|Nil 
2302|Transposer|Monstrous Humanoid|Very Rare|Low (5-7)|0%|Nil|5|1|7|15|6 (up to 48 hp)|2|1-6|Special|Special|Standard|M (5')|Nil|Nil|525+7|Nil|Nil 
2303|Tri-Flower Frond|Plant|Very Rare|Non (0)|0%|Nil|5|1-10|9|Nil|2+8|Special|Special|Nil|Nil|Standard|M|Nil|Nil|120+3|Nil|Nil 
2304|Troll - Marine (Scrag) - Fresh|Giant|Rare|Semi to Low (2-7)|20%|C|9|1-6|3|3, Sw 15|5+5|3|2-5(x2)/3-12|Special|Regeneration|Standard|M (7'+)|Nil|Nil|400+8|Nil|Nil 
2305|Troll - Marine (Scrag) - Salt|Giant|Uncommon|Low to Average (5-10)|15%|D|9|1-8|2|3, Sw 12|6+12|3|1-4(x2)/9-16|Special|Regeneration|Standard|L (10')|Nil|Nil|900+12|Nil|Nil 
2306|Twilight Bloom|Plant|Very Rare|Non (0)|0%|Nil|5|1-6|8|Nil|3+8|Special|Special|Special|Nil|Standard|L|Nil|Nil|125+4|Nil|Nil 
2307|Urchin - Land|Animal|Rare|Animal (1)|0%|Special|5|1-2|3|12|3+3|2-12|1-2|Paralysis|Smoke cloud|Standard|S (3')|Nil|Nil|150+4|Nil|Nil 
2308|Ustilagor|Plant|Rare|Unratable|90%|Qx1d20|8|1-3|5|9|3+3|1|2-5|Poison; Psionics|Psionics|Special|S (1-1.5')|155-180|D/F|135+4|Nil|Nil 
2309|Vagabond|Monster|Very Rare|Genius to Supra-genius (17-20)|0%|Special|5|1|As form|As form|As form|As form|As form|Nil|As form|As form|As form|201-300|All/All|Variable|Nil|Nil 
2310|Vargouille|Monster|Very Rare|Low (5-7)|80%|Special|8|1-20|8|Fl 12 (B)|1+1|1|1-4|Special|Nil|Standard|S (3')|Nil|Nil|118+2|Nil|Nil 
2311|Vegepygmy|Plant|Very Rare|Low (5-7)|40%|O,P|5|30-300|4|12|1 to 6|1|1-6 or by weapon|Special|Special|Special|S|Nil|Nil|53+1 to 425+6|Nil|Nil 
2312|Verme|Animal|Very Rare|Animal (1)|0%|Special|5|1|3 (Body 5)|18|18+18|1|7-28|Swallow whole|Special|Standard|L (50-80')|Nil|Nil|8550+25|Nil|Nil 
2313|Vilstrak|Monster|Rare|Low (5-7)|5%|C|8|2-20|2|9|1-2|2|2-5(x2)|Surprise on 1-4|Nil|Standard|M|Nil|Nil|7+1|Nil|Nil 
2314|Vulchling|Magical Beast|Rare|Low (5-7)|25%|J,K,L,M|9|2-16|7|6, Fl 3 (C)|1|1 or 2|2-5 or 1-4(x2)|Nil|Nil|Standard|M|Nil|Nil|10+1|Nil|Nil 
2315|Vulture - Giant|Animal|Very Rare|Animal (1)|0%|Nil|5|2-12|7|3, Fl 24 (D)|2+1|1|1-4|Nil|Nil|Standard|L (12'+)|Nil|Nil|20+2|Nil|Nil 
2316|Vulture - Ordinary|Animal|Common|Animal (1)|0%|Nil|5|4-24|6|3, Fl 27 (E)|1+1|1|1-2|Nil|Nil|Standard|M (5-6'+)|Nil|Nil|35+2|Nil|Nil 
2317|Weasel|Animal|Uncommon|Animal (1)|0%|Nil|5|1-2|6|15|1/4|1|1|Nil|Nil|Standard|S|Nil|Nil|2+1|Nil|Nil 
2318|Webbird|Magical Beast|Very Rare|Semi (2-4)|0%|Nil|5|12-48|8|3, Fl 18|1/2|1|1|Webs; Egg insertion|Nil|Standard|S|Nil|Nil|7+1|Nil|Nil 
2319|Wemic|Monstrous Humanoid|Very Rare|Average (8-10)|50%|B|5|2-16|6 (5)|12|5+8|3|1-4(x2)/by weapon|Nil|Surprised only on 1|Standard|L (7')|Nil|Nil|200+7|Nil|Nil 
2320|Willow - Black|Plant|Very Rare|Low to Very (5-12)|100%|Special|8|1|2|1/4|12 to 19|7 to 12|1-4 each|Special|Special|Standard|L (6-9')|Nil|Nil|2400+20|Nil|Nil
2321|Wolf-in-Sheep's-Clothing|Plant|Very Rare|Low (5-7)|0%|Nil|5|1|3/5/7|1|9|1 to 3|1-4|Special|Nil|Standard|S|Nil|Nil|900+14|Nil|Nil 
2322|Wolfwere|Monstrous Humanoid|Rare|High to Exceptional (13-16)|35%|B, 50% of S,T|9|1-3|3|15|5+1|1 or 2|2-12/by weapon|Singing brings on lethargy|+1 or iron to hit|10%|M|Nil|Nil|560+6|Nil|Nil 
2323|Worm - Tenebrous|Magical Beast|Rare|Animal (1)|0%|Nil|5|1|1|1|10|1|2-20|Acid|Poison bristles|Standard|M (6')|Nil|Nil|2400+20|Nil|Nil 
2324|Worm - Tunnel|Vermin|Uncommon|Non (0)|75%|M,N,Qx2|5|1-6|4|6|9+3|1|2-16|Lunge at +2 to hit|Nil|Standard|L (30')|Nil|Nil|1350+14|Nil|Nil 
2325|Xag-Ya|Outsider|Very Rare|High (13-14)|0%|Nil|5|1|0|6|5 to 8|1|7-12|Energy blast or drain|+1 to hit|15%|M|130-180|All/All|1100+10|Nil|Nil 
2326|Xeg-Yi|Outsider|Very Rare|High (13-14)|0%|Nil|5|1|0|6|5 to 8|1|7-12|Energy blast or drain|+1 to hit|15%|M|130-180|All/All|1100+10|Nil|Nil 
2327|Xaren|Outsider|Very Rare|Average (8-10)|70%|Special|5|1-4|1|9|5+5|4|1-3(x3)/4-16|Surprise on 1-5|Immune to fire and cold|Standard|M (4')|Nil|Nil|55+8|Nil|Nil 
2328|Yochlol (Handmaiden of Lolth)|Monster|Common (Very Rare)|High (13-14)|0%|Nil|9|1-4 (1)|-10 (10)|12|6 (1-10)|Special|Special|Special|Special|50%|M|133|CD/FH|1275+10|Nil|Nil 
2329|Yuan-ti|Monstrous Humanoid|Very Rare|Genius (17-18)|70%|C|9|1-4|4/0|12 or 9|6 to 9|2|Special|Spells|Nil|20%|M|150|BD/FIJ|Variable|Nil|Nil 
2330|Zombie - Juju|Undead|Very Rare|Low (5-7)|0%|N|8|1-4|6|9|3+12|1|3-12|Special|+1 to hit|Special|M|Nil|Nil|110+4|Nil|Nil 
2331|Zorbo|Magical Beast|Rare|Semi (2-4)|30%|P,Q,X|5|1-4|10|15, Fl 9|4+2|2|1-2(x2)|Aborption|Absorption|20%|S (3')|Nil|Nil|280+5|Nil|Nil 
2332|Zygom|Plant|Rare|Unratable|50%|As host|8|1-3|8|1 or as host|3 or as host|As host|As host|Milky glue|Special|Special|As host|Nil|Nil|85+4|Nil|Nil 
# subtypes||||||||||||||||||||||
2333|Pseudo-Undead - Ghast|Monstrous Humanoid|Rare|Very (11-12)|10%|B,Q,R,S,T|9|1-6|4|15|4|3|1-4(x2)/1-8|Nil|Nil|Standard|M|Nil|Nil|190+4/hp|Nil|Nil 
2334|Pseudo-Undead - Wraith|Monstrous Humanoid|Uncommon|Very (11-12)|25%|E|7|2-12|4|12, Fl 24|5+3|1|1-6|Nil|Nil|Standard|M|Nil|Nil|575+6/hp|Nil|Nil 
2335|Pseudo-Undead - Spectre|Monstrous Humanoid|Rare|High (13-14)|20%|Qx3,X,Y|7|1-6|2|15, Fl 30|7+3|1|1-8|Nil|Nil|Standard|M|Nil|Nil|1650+10/hp|Nil|Nil 
2336|Pseudo-Undead - Vampire|Monstrous Humanoid|Rare|Exceptional (15-16)|25%|F|9|1-4|1|12, Fl 18|8+3|1|5-10|Nil|Nil|Standard|M|Nil|Nil|3800+12/hp|Nil|Nil 
2337|Pseudo-Undead - Ghoul|Monstrous Humanoid|Uncommon|Low (5-7)|20%|B,T|9|2-24|6|9|2|3|1-3(x2)/1-6|Nil|Nil|Standard|M|Nil|Nil|65+2/hp|Nil|Nil 
2338|Pseudo-Undead - Wight|Monstrous Humanoid|Uncommon|Average (8-10)|70%|B|7|2-16|5|12|4+3|1|1-4|Nil|Nil|Standard|M|Nil|Nil|540+5/hp|Nil|Nil 
